BillID,BillIntroducedDate,BillNumber,BillNumberOfPages,BillTitle,BillType,BillURL,DaysUntilRoyalAssent,FirstEventChamber,FirstEventDate,FirstEventId,FirstEventMeetingnumber,LastEventDate,PDFURL,ParliamentNumber,PrimeMinisterName,PrimeMinisterParty,SessionNumber,SponsorGender,SponsorParty,SponsorTitle,StatuteChapter,StatuteYear
8471390,2016-10-06T16:03:13,C-26,88.0,"An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act",House Government Bill,http://parl.ca/DocumentViewer/en/8481939?Language=E,70,HOC,2016-10-06,9150479,89,2016-12-15,http://parl.ca/Content/Bills/421/Government/C-26/C-26_1/C-26_1.PDF,42,Justin Trudeau,Liberal,1,M,Liberal,Minister of Finance,14,2016
6449842,2014-03-04T10:04:56,C-27,12.0,An Act to amend the Public Service Employment Act (enhancing hiring opportunities for certain serving and former members of the Canadian Forces),House Government Bill,http://parl.ca/DocumentViewer/en/6457613?Language=E,392,HOC,2014-03-04,8257005,56,2015-03-31,http://parl.ca/Content/Bills/412/Government/C-27/C-27_1/C-27_1.PDF,41,Stephen Harper,Conservative,2,M,Conservative,Minister of Veterans Affairs,5,2015
5258273,2011-11-23T15:18:27,C-27,10.0,An Act to enhance the financial accountability and transparency of First Nations,House Government Bill,http://parl.ca/DocumentViewer/en/5267339?Language=E,490,HOC,2011-11-23,4923468,52,2013-03-27,http://parl.ca/Content/Bills/411/Government/C-27/C-27_1/C-27_1.PDF,41,Stephen Harper,Conservative,1,M,Conservative,Minister of Aboriginal Affairs and Northern Development,7,2013
1246683,2004-03-22T00:00:00,C-27,1.0,"An Act for granting to Her Majesty certain sums of money for the public service of Canada for the financial year ending March 31, 2005",House Government Bill,http://parl.ca/DocumentViewer/en/2614709?Language=E,9,SEN,2004-03-22,3487498,21,2004-03-31,http://parl.ca/Content/Bills/373/Government/C-27/C-27_3/C-27_3.PDF,37,Paul Martin,Liberal,3,M,Liberal,President of the Treasury Board,8,2004
10213,2001-04-25T13:39:21,C-27,20.0,An Act respecting the long-term management of nuclear fuel waste,House Government Bill,http://parl.ca/DocumentViewer/en/2330921?Language=E,414,HOC,2001-04-25,3829610,48,2002-06-13,http://parl.ca/Content/Bills/371/Government/C-27/c-27_1/c-27_1.pdf,37,Jean Chrétien,Liberal,1,M,Liberal,Minister of Natural Resources,23,2002
6476136,2014-03-24T11:45:54,C-28,32.0,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2014",House Government Bill,http://parl.ca/DocumentViewer/en/6479381?Language=E,3,HOC,2014-03-24,8279771,60,2014-03-27,http://parl.ca/Content/Bills/412/Government/C-28/C-28_3/C-28_3.PDF,41,Stephen Harper,Conservative,2,M,Conservative,President of the Treasury Board,3,2014
5281963,2011-11-30T15:09:22,C-28,12.0,An Act to amend the Financial Consumer Agency of Canada Act,House Government Bill,http://parl.ca/DocumentViewer/en/5291081?Language=E,483,HOC,2011-11-30,5067370,57,2013-03-27,http://parl.ca/Content/Bills/411/Government/C-28/C-28_1/C-28_1.PDF,41,Stephen Harper,Conservative,1,M,Conservative,Minister of Finance,1,2013
4543582,2010-05-25T10:06:57,C-28,84.0,"An Act to promote the efficiency and adaptability of the Canadian economy by regulating certain activities that discourage reliance on electronic means of carrying out commercial activities, and to amend the Canadian Radio-television and Telecommunications Commission Act, the Competition Act, the Personal Information Protection and Electronic Documents Act and the Telecommunications Act",House Government Bill,http://parl.ca/DocumentViewer/en/4547728?Language=E,204,HOC,2010-05-25,3835810,48,2010-12-15,http://parl.ca/Content/Bills/403/Government/C-28/C-28_1/C-28_1.PDF,40,Stephen Harper,Conservative,3,M,Conservative,Minister of Industry,23,2010
3831702,2009-04-27T15:14:17,C-28,28.0,An Act to amend the Cree-Naskapi (of Quebec) Act,House Government Bill,http://parl.ca/DocumentViewer/en/3835531?Language=E,45,HOC,2009-04-27,3839304,46,2009-06-11,http://parl.ca/Content/Bills/402/Government/C-28/C-28_1/C-28_1.PDF,40,Stephen Harper,Conservative,2,M,Conservative,Minister of Indian Affairs and Northern Development and Federal Interlocutor for Métis and Non-Status Indians,12,2009
3111148,2007-11-21T15:12:57,C-28,390.0,"An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007 and to implement certain provisions of the economic statement tabled in Parliament on October 30, 2007",House Government Bill,http://parl.ca/DocumentViewer/en/3126883?Language=E,23,HOC,2007-11-21,3835420,21,2007-12-14,http://parl.ca/Content/Bills/392/Government/C-28/C-28_1/C-28_1.PDF,39,Stephen Harper,Conservative,2,M,Conservative,Minister of Finance,35,2007
2399029,2006-10-18T15:35:03,C-28,138.0,"A second Act to implement certain provisions of the budget tabled in Parliament on May 2, 2006",House Government Bill,http://parl.ca/DocumentViewer/en/2410854?Language=E,126,HOC,2006-10-18,3833629,64,2007-02-21,http://parl.ca/Content/Bills/391/Government/C-28/C-28_1/C-28_1.PDF,39,Stephen Harper,Conservative,1,M,Conservative,Minister of Finance,2,2007
1502882,2004-11-29T15:06:12,C-28,8.0,An Act to amend the Food and Drugs Act,House Government Bill,http://parl.ca/DocumentViewer/en/2334049?Language=E,361,HOC,2004-11-29,3836624,34,2005-11-25,http://parl.ca/Content/Bills/381/Government/C-28/C-28_1/C-28_1.PDF,38,Paul Martin,Liberal,1,M,Liberal,Minister of Health,42,2005
1257873,2004-03-26T12:33:16,C-28,4.0,An Act to amend the Canada National Parks Act,House Government Bill,http://parl.ca/DocumentViewer/en/2331589?Language=E,49,HOC,2004-03-26,3833166,30,2004-05-14,http://parl.ca/Content/Bills/373/Government/C-28/c-28_1/C-28_1.pdf,37,Paul Martin,Liberal,3,M,Liberal,Minister of the Environment,20,2004
